0	[[0.16204752027988434], [0.11799141019582748], [0.17947646975517273], [0.05859454721212387], [0.11742991954088211], [0.16342468559741974], [0.13003003597259521], [0.22121423482894897], [0.19358770549297333], [0.23792515695095062], [0.12195480614900589], [0.08265639841556549], [0.12508180737495422], [0.07759810239076614], [0.11791785806417465], [0.12888860702514648], [0.10468471050262451], [0.17222855985164642], [0.14671312272548676], [0.19464920461177826], [0.06255017966032028], [0.004949443507939577], [0.14942671358585358], [0.17054764926433563], [0.16085463762283325], [0.13828729093074799], [0.13461355865001678], [0.20350435376167297], [0.147165909409523], [0.06582584977149963], [0.1115427240729332], [0.06527532637119293], [-0.09588396549224854], [0.22161829471588135], [0.18864944577217102], [0.17463645339012146], [0.14495281875133514], [0.05896805226802826], [0.014443212188780308], [0.049865469336509705], [0.06476334482431412], [0.16308480501174927], [0.17584702372550964], [0.05058415234088898], [0.16091568768024445], [0.08859910815954208], [0.2106080800294876], [0.16958242654800415], [0.10424496233463287], [0.11692585051059723]]	[[0.05964183062314987], [0.1321655958890915], [0.044273484498262405], [0.17555734515190125], [0.14177338778972626], [0.07941550761461258], [0.11985394358634949], [0.011063702404499054], [0.04554057866334915], [-0.0038608722388744354], [0.12035120278596878], [0.17527194321155548], [0.1080624982714653], [0.1634424328804016], [0.12500126659870148], [0.09993309527635574], [0.14642739295959473], [0.06257772445678711], [0.09811606258153915], [0.04837677627801895], [0.20226942002773285], [0.24806569516658783], [0.10936570167541504], [0.07997714728116989], [0.06989062577486038], [0.09998071193695068], [0.10060065984725952], [0.045250557363033295], [0.08199388533830643], [0.19470666348934174], [0.11505118012428284], [0.17966292798519135], [0.35427966713905334], [0.0038169133476912975], [0.059939488768577576], [0.06093816086649895], [0.09419862926006317], [0.19580556452274323], [0.2451624870300293], [0.21972720324993134], [0.1851702183485031], [0.08297400921583176], [0.07614783197641373], [0.20555631816387177], [0.08603126555681229], [0.1618170291185379], [0.02051805704832077], [0.06819728016853333], [0.1404034048318863], [0.14216050505638123]]
1	[[0.10172363370656967], [0.09601404517889023], [0.10669375956058502], [0.1003001481294632], [0.09927643835544586], [0.10642401874065399], [0.10064584761857986], [0.0990305095911026], [0.09564676880836487], [0.09749262034893036], [0.10391591489315033], [0.10097989439964294], [0.09296965599060059], [0.09425695985555649], [0.10286836326122284], [0.09949928522109985], [0.09562405943870544], [0.101555734872818], [0.09733771532773972], [0.10004055500030518], [0.10042785108089447], [0.09975617378950119], [0.10430701076984406], [0.10457272082567215], [0.09783993661403656], [0.1028236672282219], [0.10241320729255676], [0.10597885400056839], [0.10370416939258575], [0.10202915966510773], [0.10452340543270111], [0.10206755995750427], [0.1002916544675827], [0.09662763774394989], [0.09758789837360382], [0.09523285925388336], [0.0912051871418953], [0.09556230157613754], [0.10569798946380615], [0.10294301807880402], [0.1065540611743927], [0.09828066825866699], [0.1036340594291687], [0.10438327491283417], [0.10859447717666626], [0.10344833135604858], [0.09541520476341248], [0.1002470850944519], [0.1038116067647934], [0.09988521039485931]]	[[0.07846537232398987], [0.08313833177089691], [0.07396194338798523], [0.07947121560573578], [0.08044277131557465], [0.07412503659725189], [0.0795237123966217], [0.08050977438688278], [0.08372906595468521], [0.08225543051958084], [0.07646709680557251], [0.07913635671138763], [0.08633168786764145], [0.08466547727584839], [0.07720781117677689], [0.08017853647470474], [0.08409656584262848], [0.0784774124622345], [0.08210587501525879], [0.07949626445770264], [0.07941299676895142], [0.07997159659862518], [0.07626545429229736], [0.07606782019138336], [0.08192397654056549], [0.0774335041642189], [0.07784946262836456], [0.07436105608940125], [0.0764511451125145], [0.07821878790855408], [0.07548799365758896], [0.07778923958539963], [0.07946475595235825], [0.08301379531621933], [0.0818391889333725], [0.08421638607978821], [0.08737186342477798], [0.08402365446090698], [0.07430503517389297], [0.07696257531642914], [0.07378647476434708], [0.08143430203199387], [0.07627210766077042], [0.07635786384344101], [0.07169996201992035], [0.07667731493711472], [0.08409062027931213], [0.0797187089920044], [0.0768091231584549], [0.08030138164758682]]
2	[[-0.09214435517787933], [-0.09222234785556793], [-0.09235949069261551], [-0.09235675632953644], [-0.09261637926101685], [-0.0925302654504776], [-0.09284643828868866], [-0.09235464036464691], [-0.09266281872987747], [-0.09216880798339844], [-0.09211177378892899], [-0.09278600662946701], [-0.09160073846578598], [-0.09133675694465637], [-0.09315089881420135], [-0.09264272451400757], [-0.09282715618610382], [-0.09351898729801178], [-0.09255053102970123], [-0.09226012229919434], [-0.09176478534936905], [-0.0928833931684494], [-0.09231164306402206], [-0.09240623563528061], [-0.09319664537906647], [-0.09255616366863251], [-0.09173974394798279], [-0.09185165166854858], [-0.09184221178293228], [-0.0929052084684372], [-0.09234907478094101], [-0.09291613847017288], [-0.09357675909996033], [-0.09205983579158783], [-0.09302037954330444], [-0.09098987281322479], [-0.09219081699848175], [-0.09259334951639175], [-0.09184792637825012], [-0.09274646639823914], [-0.0923757255077362], [-0.09215883910655975], [-0.09253688156604767], [-0.09311871230602264], [-0.09324921667575836], [-0.09193338453769684], [-0.09253659844398499], [-0.09276415407657623], [-0.09222407639026642], [-0.09174509346485138]]	[[0.13203614950180054], [0.1324240118265152], [0.13105134665966034], [0.13210397958755493], [0.13230744004249573], [0.13144835829734802], [0.13188248872756958], [0.13248299062252045], [0.13181181252002716], [0.13213010132312775], [0.13034701347351074], [0.13089755177497864], [0.1317060887813568], [0.1324169933795929], [0.13136395812034607], [0.13174468278884888], [0.13146719336509705], [0.13232699036598206], [0.13246484100818634], [0.13105398416519165], [0.1316635012626648], [0.13190701603889465], [0.13153019547462463], [0.13176144659519196], [0.13251686096191406], [0.13172367215156555], [0.13218331336975098], [0.13158220052719116], [0.1312924027442932], [0.13304178416728973], [0.1320401132106781], [0.1321958601474762], [0.13212066888809204], [0.13203264772891998], [0.13185632228851318], [0.13118717074394226], [0.13207246363162994], [0.13233448565006256], [0.13135908544063568], [0.130264014005661], [0.13054104149341583], [0.1309293806552887], [0.1315336525440216], [0.13210146129131317], [0.13182024657726288], [0.13119655847549438], [0.13158710300922394], [0.13197095692157745], [0.1312093436717987], [0.1315010040998459]]
3	[[0.020953606814146042], [0.019434824585914612], [0.015672240406274796], [0.01870923861861229], [0.020634040236473083], [0.0179214458912611], [0.022452788427472115], [0.01715540699660778], [0.012350393459200859], [0.02684847265481949], [0.02418193221092224], [0.021275833249092102], [0.0187944695353508], [0.015388090163469315], [0.02586612105369568], [0.03071029856801033], [0.02215402200818062], [0.028005145490169525], [0.02239874191582203], [0.02291698381304741], [0.02619602158665657], [0.02503073215484619], [0.025389112532138824], [0.021008022129535675], [0.026861555874347687], [0.022690817713737488], [0.014303216710686684], [0.0191330723464489], [0.019293589517474174], [0.024866227060556412], [0.01918676495552063], [0.019855352118611336], [0.02259904146194458], [0.02081345021724701], [0.020849185064435005], [0.019028957933187485], [0.02260434255003929], [0.02797967568039894], [0.03624974191188812], [0.02512539178133011], [0.019211072474718094], [0.014582885429263115], [0.021478110924363136], [0.013448527082800865], [0.019359875470399857], [0.014770688489079475], [0.021690573543310165], [0.015817269682884216], [0.023846764117479324], [0.014080571010708809]]	[[-0.13841187953948975], [-0.14540742337703705], [-0.13739384710788727], [-0.14518052339553833], [-0.13720539212226868], [-0.14120414853096008], [-0.14491502940654755], [-0.14708632230758667], [-0.14608275890350342], [-0.13626915216445923], [-0.14080604910850525], [-0.13673658668994904], [-0.14130747318267822], [-0.13782966136932373], [-0.136722594499588], [-0.1455446034669876], [-0.1369655579328537], [-0.14450067281723022], [-0.14490558207035065], [-0.14062628149986267], [-0.13635320961475372], [-0.1459619253873825], [-0.13641345500946045], [-0.1367919147014618], [-0.13622437417507172], [-0.1450599581003189], [-0.14177028834819794], [-0.13867652416229248], [-0.1453048437833786], [-0.14097672700881958], [-0.1371140480041504], [-0.14512214064598083], [-0.13689477741718292], [-0.14687952399253845], [-0.14683832228183746], [-0.1411161869764328], [-0.13695113360881805], [-0.1403481513261795], [-0.13503128290176392], [-0.1448168307542801], [-0.14128506183624268], [-0.14176034927368164], [-0.14653265476226807], [-0.13912217319011688], [-0.14139996469020844], [-0.1415589302778244], [-0.14487650990486145], [-0.14567123353481293], [-0.1405051052570343], [-0.14610575139522552]]
4	[[-0.03991597518324852], [-0.1039627194404602], [-0.06343881040811539], [-0.015916112810373306], [-0.03920998424291611], [-0.052661117166280746], [-0.09447184205055237], [-0.14154113829135895], [-0.12674422562122345], [-0.05915258824825287], [-0.02992035076022148], [-0.08193167299032211], [-0.01792239397764206], [-0.04739350080490112], [-0.04785296320915222], [0.03801431506872177], [-0.04232051968574524], [-0.05500790849328041], [-0.1313883364200592], [-0.09093866497278214], [-0.04473770037293434], [-0.1182994619011879], [-0.10219109803438187], [-0.08990342915058136], [-0.10777021944522858], [-0.0069931186735630035], [-0.09127125144004822], [-0.11437888443470001], [-0.00545380637049675], [-0.03111601248383522], [-0.11170785129070282], [-0.10932853072881699], [-0.0699906200170517], [-0.07606780529022217], [-0.06831959635019302], [-0.08419737964868546], [-0.04790500923991203], [-0.13049708306789398], [-0.13958026468753815], [-0.05780104175209999], [-0.1299380362033844], [-0.07785732299089432], [-0.2022021859884262], [-0.00940767303109169], [-0.08472127467393875], [-0.06304913014173508], [-0.06883126497268677], [-0.06862226128578186], [-0.04446128010749817], [-0.08180062472820282]]	[[-0.14139389991760254], [-0.11480792611837387], [-0.13153551518917084], [-0.15104790031909943], [-0.14201773703098297], [-0.13507352769374847], [-0.11798768490552902], [-0.1003791019320488], [-0.10553297400474548], [-0.1342584788799286], [-0.14567336440086365], [-0.12467434257268906], [-0.15018242597579956], [-0.13958843052387238], [-0.13777557015419006], [-0.17415061593055725], [-0.141610249876976], [-0.1345592886209488], [-0.10398869216442108], [-0.12047766149044037], [-0.13900470733642578], [-0.10863873362541199], [-0.11634579300880432], [-0.12060007452964783], [-0.1147938221693039], [-0.15495753288269043], [-0.1206052303314209], [-0.11188511550426483], [-0.15613725781440735], [-0.14403346180915833], [-0.11331666260957718], [-0.11233717948198318], [-0.1292019933462143], [-0.125946044921875], [-0.12920665740966797], [-0.12324519455432892], [-0.138074591755867], [-0.10276905447244644], [-0.1006014421582222], [-0.1328790783882141], [-0.1047663539648056], [-0.12655708193778992], [-0.07521691173315048], [-0.15437527000904083], [-0.12324638664722443], [-0.13272635638713837], [-0.13064105808734894], [-0.1306864321231842], [-0.13960617780685425], [-0.1239173412322998]]
5	[[-0.0017889831215143204], [-0.06731848418712616], [-0.11646062880754471], [-0.1114756390452385], [-0.172768235206604], [-0.12155986577272415], [-0.11400783807039261], [-0.12970516085624695], [-0.014897240325808525], [-0.06800418347120285], [-0.13073548674583435], [-0.1938013732433319], [-0.13901706039905548], [-0.07566818594932556], [-0.03163318336009979], [-0.13299798965454102], [-0.14329105615615845], [-0.08996310830116272], [-0.09749355912208557], [-0.09663207828998566], [-0.0256283488124609], [-0.002094060182571411], [-0.10886604338884354], [-0.145990252494812], [0.00887984223663807], [-0.10206013917922974], [0.003093428909778595], [-0.09042274951934814], [0.009221429005265236], [-0.01618175022304058], [-0.19187875092029572], [-0.09754367172718048], [-0.08836935460567474], [-0.03173987567424774], [-0.03412450850009918], [-0.1826762855052948], [-0.08488523960113525], [-0.1092662364244461], [-0.09388121962547302], [-0.06780467927455902], [0.0032844599336385727], [-0.05008987337350845], [-0.007911300286650658], [-0.07651297748088837], [-0.11687320470809937], [-0.031561873853206635], [-0.11066733300685883], [-0.02416214905679226], [-0.12431295216083527], [0.005661461502313614]]	[[0.11203597486019135], [0.13586099445819855], [0.15245282649993896], [0.15040706098079681], [0.17268283665180206], [0.1543930023908615], [0.15238982439041138], [0.15726399421691895], [0.11647044867277145], [0.13535070419311523], [0.1580083817243576], [0.18049000203609467], [0.1601402312517166], [0.13815774023532867], [0.12249526381492615], [0.15917634963989258], [0.16217763721942902], [0.14308159053325653], [0.14663568139076233], [0.14529025554656982], [0.12016824632883072], [0.1124805137515068], [0.15046361088752747], [0.16373668611049652], [0.10854995995759964], [0.1480054259300232], [0.11039529740810394], [0.1429591029882431], [0.10800372064113617], [0.11677762866020203], [0.17952027916908264], [0.14546439051628113], [0.1425304114818573], [0.12325294315814972], [0.1241837665438652], [0.1756373792886734], [0.14110292494297028], [0.15059322118759155], [0.14491082727909088], [0.13525748252868652], [0.10989880561828613], [0.129593163728714], [0.11410874873399734], [0.13809798657894135], [0.15292075276374817], [0.1220976710319519], [0.15028703212738037], [0.12010258436203003], [0.15584996342658997], [0.10893803834915161]]
6	[[-0.06748167425394058], [-0.10294566303491592], [-0.08390998840332031], [-0.08033344149589539], [-0.07973884791135788], [-0.09779125452041626], [-0.0753648579120636], [-0.08759038150310516], [-0.08248589187860489], [-0.0848228931427002], [-0.07943953573703766], [-0.06903114914894104], [-0.09325573593378067], [-0.10808864235877991], [-0.08332955837249756], [-0.1011330708861351], [-0.10720310360193253], [-0.09046676009893417], [-0.07884284108877182], [-0.07820434123277664], [-0.1117466613650322], [-0.08149885386228561], [-0.09945153445005417], [-0.08019021153450012], [-0.10013707727193832], [-0.09128747880458832], [-0.10222789645195007], [-0.10823258012533188], [-0.08697131276130676], [-0.08923161774873734], [-0.09858055412769318], [-0.08546700328588486], [-0.07304646074771881], [-0.09016221761703491], [-0.09511024504899979], [-0.09894515573978424], [-0.0938471183180809], [-0.0870920941233635], [-0.07694723457098007], [-0.09717769175767899], [-0.09301528334617615], [-0.09253864735364914], [-0.09816151112318039], [-0.10393323004245758], [-0.07603050768375397], [-0.0857507660984993], [-0.0868871882557869], [-0.09723955392837524], [-0.09047727286815643], [-0.10660341382026672]]	[[0.14652571082115173], [0.13919270038604736], [0.1421348750591278], [0.14341458678245544], [0.14439402520656586], [0.13960222899913788], [0.14585019648075104], [0.1409038007259369], [0.14293822646141052], [0.14249934256076813], [0.14390407502651215], [0.14671948552131653], [0.14056770503520966], [0.13693377375602722], [0.14302371442317963], [0.13796909153461456], [0.13752181828022003], [0.14118437469005585], [0.14493536949157715], [0.1449170559644699], [0.13694152235984802], [0.14350269734859467], [0.1400466412305832], [0.14398346841335297], [0.1386091113090515], [0.14075902104377747], [0.13899070024490356], [0.13716423511505127], [0.1419413983821869], [0.14112024009227753], [0.13970427215099335], [0.1424313485622406], [0.1451108306646347], [0.1408717781305313], [0.13954080641269684], [0.13957622647285461], [0.1402047723531723], [0.14215900003910065], [0.14507490396499634], [0.14019399881362915], [0.14086109399795532], [0.1405714750289917], [0.13930904865264893], [0.13797715306282043], [0.14520971477031708], [0.14254477620124817], [0.14263427257537842], [0.13970528542995453], [0.14090602099895477], [0.13707271218299866]]
7	[[-0.08189074695110321], [-0.0714476928114891], [-0.07833073288202286], [-0.08148832619190216], [-0.06786631792783737], [-0.08355187624692917], [-0.0836600735783577], [-0.07413460314273834], [-0.08396735787391663], [-0.07442137598991394], [-0.08152445405721664], [-0.07598844915628433], [-0.07324248552322388], [-0.07371072471141815], [-0.07835615426301956], [-0.07860030233860016], [-0.07089215517044067], [-0.08145540952682495], [-0.06938367336988449], [-0.0757087916135788], [-0.07534418255090714], [-0.07213503122329712], [-0.07478070259094238], [-0.06779997795820236], [-0.07131082564592361], [-0.08326014131307602], [-0.07421145588159561], [-0.06947382539510727], [-0.0776892900466919], [-0.07425835728645325], [-0.07921717315912247], [-0.07069995254278183], [-0.06945157796144485], [-0.06919246166944504], [-0.07415362447500229], [-0.08448812365531921], [-0.0694575235247612], [-0.07278292626142502], [-0.08373746275901794], [-0.07640384137630463], [-0.07720845192670822], [-0.08307478576898575], [-0.07107710838317871], [-0.07374009490013123], [-0.07180442661046982], [-0.07380881160497665], [-0.07802271097898483], [-0.07085789740085602], [-0.06556159257888794], [-0.08417420089244843]]	[[-0.07399620860815048], [-0.08039876818656921], [-0.07641736418008804], [-0.07428912073373795], [-0.08183538913726807], [-0.07328307628631592], [-0.07292377948760986], [-0.07816451042890549], [-0.07295939326286316], [-0.07815851271152496], [-0.07425419241189957], [-0.0780259445309639], [-0.0792645663022995], [-0.07873956114053726], [-0.07592102885246277], [-0.07638893276453018], [-0.08088161051273346], [-0.074579618871212], [-0.08067063242197037], [-0.0777517631649971], [-0.0780133605003357], [-0.07959795743227005], [-0.07794883847236633], [-0.08228087425231934], [-0.07982095330953598], [-0.07319478690624237], [-0.0786784291267395], [-0.08153491467237473], [-0.0765303447842598], [-0.07815898209810257], [-0.07553409039974213], [-0.08029048889875412], [-0.0809742659330368], [-0.08140318840742111], [-0.0783318504691124], [-0.07256100326776505], [-0.08126351237297058], [-0.07905536890029907], [-0.07310111820697784], [-0.07712000608444214], [-0.07695769518613815], [-0.07342441380023956], [-0.08056662976741791], [-0.078593410551548], [-0.07982364296913147], [-0.07930014282464981], [-0.0763988271355629], [-0.08031532168388367], [-0.08375313133001328], [-0.07344870269298553]]
8	[[0.05948375165462494], [0.06120987981557846], [0.05283728986978531], [0.053961172699928284], [0.04826735705137253], [0.04866715893149376], [0.05055670067667961], [0.05433597415685654], [0.05368699133396149], [0.04810706526041031], [0.048887938261032104], [0.048424556851387024], [0.048932671546936035], [0.04698555916547775], [0.0541088692843914], [0.057587213814258575], [0.059758689254522324], [0.0534433051943779], [0.058770276606082916], [0.060832321643829346], [0.04019054025411606], [0.05948270112276077], [0.04390808939933777], [0.04890912398695946], [0.05341913551092148], [0.051292914897203445], [0.04914472624659538], [0.05490459129214287], [0.049946367740631104], [0.047715455293655396], [0.05049380660057068], [0.04046356678009033], [0.04503700137138367], [0.0511631965637207], [0.0544322170317173], [0.055078521370887756], [0.048566415905952454], [0.04625115916132927], [0.05287115275859833], [0.041487760841846466], [0.053768008947372437], [0.05536363646388054], [0.052116818726062775], [0.054565757513046265], [0.05057587847113609], [0.044135477393865585], [0.0480012372136116], [0.048470497131347656], [0.05107276141643524], [0.047903262078762054]]	[[0.12338634580373764], [0.1232115775346756], [0.1240142434835434], [0.12451593577861786], [0.12536229193210602], [0.12500479817390442], [0.12472189217805862], [0.1246677041053772], [0.12454457581043243], [0.12564072012901306], [0.12480966001749039], [0.1256713718175888], [0.12487451732158661], [0.12549901008605957], [0.1240142434835434], [0.1239040419459343], [0.12371224910020828], [0.12416204065084457], [0.12298561632633209], [0.12280769646167755], [0.1265159249305725], [0.12277621775865555], [0.12532489001750946], [0.1253732591867447], [0.12431983649730682], [0.12457401305437088], [0.12518943846225739], [0.12435548007488251], [0.12391193211078644], [0.1241883710026741], [0.1245749294757843], [0.1265275925397873], [0.12611564993858337], [0.12469231337308884], [0.12412108480930328], [0.12398450821638107], [0.12597715854644775], [0.12556777894496918], [0.12492503970861435], [0.1258072555065155], [0.12399361282587051], [0.12354368716478348], [0.1243991032242775], [0.124753937125206], [0.12466781586408615], [0.12562894821166992], [0.12420179694890976], [0.12515901029109955], [0.1244359016418457], [0.1257297396659851]]
9	[[0.08790693432092667], [0.1948961764574051], [0.08639059215784073], [0.08133406192064285], [-0.061186499893665314], [-0.23292559385299683], [-0.11351747065782547], [0.002527513075619936], [-0.018740782514214516], [0.09796307235956192], [0.1438559740781784], [-0.1937066614627838], [-0.27486369013786316], [-0.1081513836979866], [-0.008839205838739872], [-0.010901745408773422], [0.24283520877361298], [0.07533492892980576], [0.09244644641876221], [0.017354652285575867], [-0.07815898954868317], [0.42824211716651917], [-0.20713315904140472], [-0.20752976834774017], [-0.033998437225818634], [0.13069404661655426], [-0.01613580249249935], [0.02779325656592846], [0.20281650125980377], [0.17988915741443634], [0.03429270535707474], [-0.15838868916034698], [0.045415472239255905], [0.0016638769302517176], [-0.0950135663151741], [0.0034278612583875656], [-0.024414455518126488], [-0.2285584658384323], [-0.05062958598136902], [-0.03669658675789833], [0.11972640454769135], [0.18224352598190308], [0.006768780294805765], [0.020562883466482162], [-0.1785193383693695], [-0.05458621308207512], [0.049089185893535614], [-0.2534049451351166], [0.08051741123199463], [-0.14797581732273102]]	[[0.1088871881365776], [0.10900941491127014], [0.10948759317398071], [0.10861334949731827], [0.10901818424463272], [0.10723409801721573], [0.10849286615848541], [0.10871058702468872], [0.10820341855287552], [0.10933922231197357], [0.10895232856273651], [0.10790681838989258], [0.10785519331693649], [0.10901246219873428], [0.10871367901563644], [0.10898608714342117], [0.10960748791694641], [0.1085847020149231], [0.10882630944252014], [0.10913199931383133], [0.10805607587099075], [0.11081766337156296], [0.10782110691070557], [0.10763420164585114], [0.1085619255900383], [0.10941774398088455], [0.10883011668920517], [0.10830532759428024], [0.10924425721168518], [0.11021916568279266], [0.10867519676685333], [0.10758429765701294], [0.10862655937671661], [0.10865095257759094], [0.10802176594734192], [0.10843128710985184], [0.1089717224240303], [0.10763578861951828], [0.10842125117778778], [0.10821019113063812], [0.10941735655069351], [0.10967245697975159], [0.10872338712215424], [0.10886484384536743], [0.10788077861070633], [0.10820533335208893], [0.10882207751274109], [0.10803482681512833], [0.10863453149795532], [0.10792814195156097]]
