0	[[-0.02827377623975495], [0.4538552458146279], [0.35998269572166375], [0.14767867748586347], [0.40579299047252376], [0.24650499599267], [-0.25220860875480444], [0.4418710472220675], [0.33570741420915273], [0.2117265679987798]]	[[0.048879387245308895], [-0.4891374825442859], [0.3290626142626234], [-0.0036942002185958254], [-0.38774554765354086], [-0.3405136217517264], [0.4475291874135018], [-0.3925732984619096], [-0.11292202020574602], [0.12890225067442648]]
1	[[0.001986652660405223], [0.40027579142530845], [-0.16133508919106415], [-0.4476411311291009], [0.2833723437747502], [0.17354236222734318], [0.0020196940947028704], [0.3890432166252428], [-0.32631934923384676], [0.49507968325576224]]	[[-0.3164325717436993], [0.3647521780489273], [0.321619558383416], [-0.03494147875189162], [0.2538731480669741], [-0.3122264701466747], [0.14064005611036498], [-0.4087452046772845], [0.33715645165698493], [-0.4468809061518531]]
2	[[0.03285438759970937], [-0.32309289328688695], [0.33181624972295914], [-0.5330641011737524], [0.41896538670375194], [-0.21550503732755197], [-0.1133081151384799], [-0.33881346447111094], [-0.2111685646891354], [0.32568748861012675]]	[[-0.13987479392582658], [-0.10993940829434756], [0.43771216071920716], [0.44882249986993755], [0.31027177360795793], [-0.30316714406959105], [0.4263406335375524], [0.13085419417833474], [-0.06855277248652206], [0.42842416738686384]]
3	[[-0.4395085682859333], [-0.1836755482901788], [-0.3544915550949068], [0.5060846489003549], [-0.07387248340725772], [0.2513750626801681], [0.026229478605160214], [0.39925470099418264], [-0.3690743392495505], [0.16234174210224378]]	[[-0.3860288270811121], [-0.14869116885593156], [0.3096858421720579], [0.4496336359936634], [0.055877820053303856], [0.05421093587642435], [0.1730575886103778], [0.3125829954731264], [-0.49259961650934675], [0.3929686462628854]]
4	[[-0.1872001410135973], [0.6823853421337138], [0.4853114963541625], [0.3390178765002801], [-0.30325442786371165], [-0.005776748335973956], [-0.04289631509459107], [0.16466229248558745], [0.16046082220309565], [0.046345703658340724]]	[[-0.3629451053160248], [0.6322653050573834], [0.47779389798003297], [0.15103108729871806], [-0.41715942594779554], [-0.0467862777297883], [-0.10181598706046198], [0.01101418883091949], [-0.11562069040350782], [0.13170855022837363]]
5	[[0.32065750660966236], [0.07841459295863089], [0.7512485259147842], [-0.024676206877663812], [0.034000425264220584], [-0.39078874428417887], [0.17627065995111063], [0.30969366078017946], [-0.18934088165124252], [0.09666075761212065]]	[[0.05075108632921855], [-0.3240658613018691], [-0.4004839137353161], [0.4678365649901985], [-0.17366801818521288], [0.18452227320098644], [0.33403095864813354], [-0.19693648062068597], [-0.45779826631210324], [-0.2983257730264659]]
6	[[-0.097632421247378], [0.040106696102133695], [-0.6891988942635834], [-0.1544982231661831], [-0.21225894350159083], [0.2547649157067066], [-0.11435949370619776], [-0.3066480676172356], [-0.4888948605871899], [-0.18413638743970404]]	[[-0.1381146286390004], [0.22691400952664467], [0.4496130032485999], [0.5266709726307894], [-0.2744016434331775], [0.25091886583189205], [0.43400880553543747], [-0.015848176727418662], [-0.18185717493794878], [0.29992805190725597]]
7	[[-0.1990029383201915], [0.608752038918625], [0.07064553255727232], [0.2983519529814017], [0.37861112300302185], [-0.3947312280910558], [-0.35663903942233627], [0.07293538745601005], [0.2049265606208979], [0.14882577468634905]]	[[0.4729000192655968], [-0.17597453442136873], [-0.2654428311168965], [-0.11090682141261995], [-0.46390711669354423], [0.0022036680058283454], [0.39775860999439117], [-0.1505929492528276], [-0.45349004217958244], [-0.24673929514693213]]
8	[[0.13958920771255204], [-0.2991029765377804], [0.19892785753932068], [-0.17896177404299832], [0.09498857216166996], [-0.3058703652336229], [0.4892835492851047], [0.44309210831576645], [-0.3226997599449196], [0.4207243767027396]]	[[0.013863702065545708], [0.017531962831471303], [0.2970468438181009], [-0.30260254781304907], [-0.2105625760469354], [-0.17849573857734913], [0.6554306375261467], [0.40068360816135473], [-0.21909619194454472], [0.3245892108119755]]
9	[[-0.31277931204985665], [0.23862273822253624], [0.3981056696377978], [-0.13527318409098013], [0.48521896022121047], [-0.1485969857642813], [0.28888625474379925], [0.08482933920544838], [0.46216987398413895], [0.32660457942303234]]	[[0.017431568432179113], [0.23045850328924591], [0.40271611939692914], [-0.47416782444653], [-0.0196259100657915], [0.05257538489742975], [0.29381544536566107], [-0.12666555982214542], [-0.3275404299859761], [-0.5888682869897963]]
10	[[-0.1819279677767653], [-0.021184830346036358], [0.6553767340605587], [0.46407484399421667], [-0.11024505842197832], [0.38400049715229967], [0.2297705157628478], [0.16234311193563197], [0.1287911237691315], [0.2573363731372236]]	[[-0.13913122691036459], [0.18434101991332372], [-0.5796017852286569], [-0.23681092029354758], [0.38040373589862336], [-0.479953967787043], [-0.22828695914160863], [-0.00646750945077197], [-0.26144717306611037], [-0.24304124441784464]]
11	[[0.2898898751593824], [0.06333461207017003], [0.24069113575372894], [0.001401594800925362], [0.48143858392784483], [0.18364323194876897], [0.0347834706184767], [-0.30435573656548165], [-0.0276825932728077], [-0.7027814902099117]]	[[-0.5053065203295268], [0.26595039887509947], [-0.16913313011414663], [0.5598736141192248], [-0.16705953274459176], [-0.09981300193147323], [-0.18375050545351043], [-0.4762014099881572], [-0.06259550248550994], [-0.17189960868353593]]
12	[[-0.3634567866991302], [0.4730084643823642], [0.2727820704054032], [-0.008028633771924247], [0.46696628716608624], [0.45244703541543557], [0.19662858922889087], [-0.2766357028660341], [-0.10854235430857712], [0.1412453533501372]]	[[-0.310493481337154], [0.539171732784497], [0.31605489625796157], [0.3216855607934673], [0.2841359202300128], [0.2566051442412564], [-0.2838159093760617], [0.15461206405605965], [-0.2684907774681104], [0.29392560891075925]]
13	[[0.3193422635664241], [0.1365037993562182], [0.39358769483416417], [0.029673896605485], [-0.3580588406296886], [-0.17829729774634653], [0.41030699266565046], [-0.33142448506579525], [0.3121339432218125], [-0.4335639999095683]]	[[-0.38787591909436464], [-0.1327120411929093], [0.10081900604786435], [-0.5430655376459518], [0.022075324400248536], [0.4617091499090068], [0.024644775006018343], [-0.4955441561551358], [-0.24713418274735166], [-0.07710899024153568]]
14	[[-0.26819171487228843], [0.11442243528308405], [0.4812777736178388], [0.28803858863741794], [-0.3134956633300591], [0.2264224579648574], [-0.42457343170610795], [-0.3013819118587179], [0.42383179476328786], [-0.010605663523877668]]	[[0.39804928890708957], [-0.18963722788851903], [-0.29222296615935534], [0.300007907080554], [0.4741945896170913], [0.33309343210031156], [0.16054849351007328], [0.04357431205966876], [0.07758075615905159], [0.5105785176062229]]
15	[[-0.48366039339865247], [0.1818696616047902], [0.07502312793563622], [-0.5225615637763344], [-0.3273143629505711], [0.09738843719193468], [-0.2859786267456059], [-0.07293380323391153], [-0.4318699730977659], [-0.2531067052020721]]	[[-0.4443087979855892], [-0.3962296781354436], [0.1581468824096157], [-0.3151598493190231], [-0.4406232473080719], [-0.4431372682149545], [-0.13182762210818466], [-0.1830052908836524], [0.2768128704144911], [-0.0569320554702899]]
16	[[0.5736103372463893], [-0.033167623464094034], [-0.02084945422384726], [0.26952916708471375], [-0.15236151182593982], [0.5978963754533402], [0.12131127674403973], [-0.10238154676931306], [0.4338076602243947], [-0.05204631579063358]]	[[0.3320489917147976], [-0.33388714506121325], [-0.38345982712613735], [0.2285197464339021], [-0.04019527116655997], [0.5139015781032961], [-0.12151684915221113], [-0.22301895167790603], [0.26538378124265943], [0.42232367604833626]]
17	[[-0.4121928616888432], [0.34550135350742334], [-0.30575866641989213], [0.5066780177911209], [-0.2421929175358991], [-0.26044461630685783], [-0.21331581922894444], [0.18848328345365367], [0.34285799963651037], [-0.18826811051364492]]	[[0.21294396897778603], [-0.5019375427056714], [-0.05891928764919568], [-0.41272651354680073], [0.4931860307306616], [0.04299512175054504], [-0.22329362615318035], [-0.3462033791573026], [0.12427756697403382], [0.3140957395146072]]
18	[[-0.2838394799884003], [-0.13141237439786516], [-0.4001320545291905], [0.5447409176965736], [0.09023922623717545], [-0.35817474639109226], [0.24935950039824112], [-0.4066433463033087], [0.007491412330723694], [0.2851144494511709]]	[[0.4171604014612351], [0.22905744834820585], [-0.3960758563441037], [0.3734911747963251], [0.054869967144951674], [0.24963945164758228], [-0.43747715876923765], [0.20955378384429577], [0.3637761460562032], [-0.21017953482271196]]
19	[[-0.240548020597068], [0.403802118634188], [0.010596268349390165], [-0.5651627534014465], [-0.35036910641010194], [0.010807268053159529], [0.006284473751392723], [0.22945147533585306], [0.21326846278419548], [0.48837798978484454]]	[[-0.2736516420704978], [-0.3610966474337924], [0.024186028018674876], [0.5532048401686048], [0.09726103373663397], [0.3269244908880882], [-0.22918163719733456], [0.15517754195497066], [0.1500316154153075], [-0.5221592874412802]]
20	[[0.4081804729801688], [-0.3721549605637483], [0.15467093835128526], [0.219492891175577], [0.3222983413970456], [-0.5315378744633157], [0.46189359923950873], [-0.05150769878856495], [-0.009712191176114148], [-0.14243369963520056]]	[[0.02557773757961173], [0.14363708179208498], [-0.4089712861688395], [0.3594802180031485], [0.2651156204387316], [-0.4923729231220075], [0.4451576606760757], [-0.024900962542863652], [0.02025875981181501], [0.4126953140765985]]
21	[[-0.23952444847792662], [-0.27893684120855383], [0.06850961166475464], [-0.3259365897297545], [-0.10886494509611963], [0.09644317961589743], [0.5544273876807728], [-0.27775758963192304], [0.5851262022140884], [0.07635121015067106]]	[[-0.28511031663848435], [-0.28535228090157994], [0.23994648215804085], [-0.46022952121063054], [-0.33065008544276325], [0.17219984161241061], [0.3357093257333203], [-0.41565575512938896], [0.3515576215264746], [0.1409083843221637]]
22	[[-0.24843962598607686], [0.06278939747463305], [-0.4780911701959465], [-0.08010784136407503], [0.22200797622257204], [-0.3648981684793195], [-0.18927055710607352], [0.48515533074688777], [0.4730866444820622], [-0.14798170070878044]]	[[0.31135873531098224], [0.3094951976460853], [-0.3766256284613409], [0.29946091011130277], [0.026578161265711647], [-0.3938737892363781], [-0.36012557416794894], [0.29870988226271966], [0.3297373334203305], [0.3037384852054886]]
23	[[-0.6643132709218452], [0.045865092856475595], [-0.017850141120559222], [-0.0038965572293954928], [-0.357751148085145], [0.349707811538321], [0.5518859448954574], [-0.027248693870095923], [-0.016788623662811187], [-0.019146223013666912]]	[[-0.6372679346230029], [-0.007187050004777611], [0.4384263958935875], [0.4250216443995814], [-0.2539810786432166], [-0.25855837942024545], [0.2692318346639565], [-0.10752496457423331], [0.05556268924737645], [0.04983360184042546]]
