0	[[0.3206308300205386], [-0.1812441117048701], [-0.08250197413138727], [0.20996690309763189], [0.26889125308952333], [-0.19623096113796176], [0.7853751272190835], [-0.1555429276695124], [-0.03297648657924908], [-0.24606813916876322]]	[[-0.32062906454069534], [0.18124945629239905], [0.08250514327798648], [-0.2099639329592233], [-0.26888751587995685], [0.19623162504392797], [-0.785375414919712], [0.15554341873178254], [0.03297264254759449], [0.2460708155456792]]
1	[[0.039672686296793054], [-0.39821884177156114], [-0.3258559068552643], [0.19748152541228434], [0.4548912095828249], [0.3937434271231739], [0.3745791377735965], [0.36728309118965385], [-0.2395105360167287], [0.011628059081233178]]	[[-0.03967268629683649], [0.3982188417715104], [0.3258559068551945], [-0.1974815254122064], [-0.4548912095828307], [-0.3937434271232214], [-0.37457913777356466], [-0.367283091189734], [0.23951053601680278], [-0.011628059081207167]]
2	[[-0.42166634481796533], [0.6214821327163246], [0.08845089789695687], [-0.22241593330982296], [-0.30360219279638345], [-0.05374345565732254], [0.19216540871953838], [0.19145368451485514], [-0.31220572181079254], [0.33548162808497606]]	[[-0.35014173974832635], [0.651285559895097], [0.021264068462862648], [-0.11622153766633311], [-0.3448684607823621], [-0.2860799685790336], [0.10376503796607864], [0.26391420401986204], [-0.34174892821355035], [0.20317984975336228]]
3	[[0.33589684575671525], [0.029657183991060435], [0.05648512388333448], [-0.1885110068582735], [0.36445566617336533], [-0.4692098974553683], [0.18366003539201414], [-0.4172651377261597], [0.456738573640532], [-0.2795167305057265]]	[[-0.4280177798301276], [0.25247097575643473], [0.3378850358050999], [-0.1365747061864657], [0.26676999301287696], [0.0659632562528255], [0.3229748053834614], [0.22653891075499222], [0.5139671399849823], [-0.3534516012532654]]
4	[[-0.03609611148842503], [0.1671540238961184], [-0.35587844059019696], [0.24775356455604142], [-0.39045149303196397], [-0.36678312861345735], [-0.5921544675171729], [0.34021982181909843], [0.15532112941244325], [-0.07226329743464122]]	[[0.375774880341812], [0.17583558862673143], [-0.09472835247847934], [-0.11968673150308612], [0.5349604225373403], [0.32272817508587254], [0.46495951078989467], [0.17875462401243492], [0.320231613756411], [0.25209469096111703]]
5	[[0.16588255869993482], [-0.13537307635318205], [0.006301837553759125], [0.529702008979123], [0.22705043588463328], [0.07741541322626411], [-0.3349778267792151], [-0.44967953244611086], [-0.5220591725715747], [-0.1703541100284166]]	[[-0.16588255870130736], [0.13537307635425647], [-0.006301837553095188], [-0.5297020089787629], [-0.22705043588664708], [-0.07741541322537872], [0.3349778267784525], [0.44967953244586867], [0.522059172571771], [0.1703541100266276]]
6	[[-0.16452520726921827], [-0.5257817935888287], [0.045656935507532304], [0.3010289665439389], [0.417538104642077], [0.2731696484167868], [-0.5115762786407804], [-0.13033676674736233], [-0.12985754865078167], [0.2434364332328659]]	[[-0.16452520725811787], [-0.5257817935860752], [0.04565693550663049], [0.3010289665505146], [0.41753810464534125], [0.2731696484267434], [-0.5115762786330096], [-0.13033676675662537], [-0.12985754865608298], [0.2434364332301239]]
7	[[-0.30721133703826964], [0.3867960550101218], [-0.341123919657305], [0.33024538362600153], [0.29881983012297764], [0.4282186779753319], [0.039453204944703814], [-0.11436299418421206], [0.1638682892164882], [0.4652200244868285]]	[[-0.30721125532894855], [0.38679607949838013], [-0.34112398263048777], [0.3302453436665291], [0.29881987397873044], [0.42821868411870434], [0.03945332330506961], [-0.11436288347692034], [0.16386824402829805], [0.465220039544599]]
8	[[-0.21952006023542553], [0.24090521401498483], [-0.35009733072294374], [-0.38854609602559953], [0.12904576621438169], [-0.4859275376999315], [-0.4881270926195379], [-0.0016463886946383546], [-0.3574386516148426], [-0.0377871778837235]]	[[0.039197174812824864], [0.5118446094215573], [0.3678043439884501], [-0.2407833871017613], [-0.22427342612446705], [0.341143955544995], [-0.06272037231842732], [0.2610340668600699], [0.355387992576524], [-0.4221030440881495]]
9	[[-0.4692266430068216], [0.16253899948971046], [-0.5700984395894396], [-0.03470584958242857], [0.18188426280112469], [0.047604123416131815], [-0.5546053958939421], [-0.19009123400435915], [-0.16066926051023883], [0.14935271348747015]]	[[-0.469225306425053], [0.1625430622188597], [-0.570097425561734], [-0.03470630433562561], [0.18188103779188752], [0.04760695918966766], [-0.5546068554313774], [-0.19008916953241767], [-0.16066940179647637], [0.14935633542603377]]
10	[[-0.3081848032363924], [-0.4673190623242106], [-0.4591897475265736], [-0.08621746343433713], [-0.23866235217374526], [0.09376199582785966], [0.16059135084791795], [0.22626767360665842], [-0.5009936076962798], [0.2731557770983554]]	[[0.30818480323639674], [0.4673190623242013], [0.4591897475265752], [0.08621746343433366], [0.23866235217374732], [-0.0937619958278583], [-0.16059135084791615], [-0.22626767360665995], [0.500993607696284], [-0.2731557770983559]]
11	[[0.33038174332996223], [-0.4338171517381306], [-0.5481439833814276], [0.05071138637093666], [-0.3207339644035782], [0.18754903670789683], [-0.23791435181355902], [0.25260639142387836], [0.036895493936539805], [0.37389529143220446]]	[[0.3269409055275527], [-0.43517996372936224], [-0.5433324262718058], [0.04806562584647486], [-0.32367211315681643], [0.18808627316856213], [-0.23599917809319215], [0.2575638892501014], [0.04256583658511011], [0.3771218783027383]]
12	[[-0.4533545333105878], [-0.44761285032894926], [-0.09335929185484318], [-0.09616252964749702], [0.21300426437542072], [-0.3585579110081453], [0.04611091974907508], [0.41021173928087395], [0.2928489301548009], [0.3821704303290523]]	[[-0.15518163507738564], [0.14434732518013096], [-0.3143070032052702], [0.3831780652865678], [0.2651658227927069], [0.23544214118798293], [0.13226934751234076], [-0.11056110124492724], [0.5585270179300823], [-0.4919866921830289]]
